DataName,Stage,DateTime,ColumnName,Type,Min,Max,RowCount,MissingCount,NotMissingCount,ErrorCount,EmptyCount,Mean,ValueCount
BENEFIT,3,2019-04-14 16:19:00.603052,ACCOUNTADDR,FieldType.STRING,HAS ALREADY TAKEN AVC'S AS A ONCE ONLY TRIVIAL COMM.,total figures at 22/02/2016 �763.65,1282.0,1280.0,2.0,0.0,0.0,,3
BENEFIT,3,2019-04-14 16:19:00.603052,ACCOUNTCODE,FieldType.STRING,,,1282.0,1282.0,0.0,0.0,0.0,,1
BENEFIT,3,2019-04-14 16:19:00.603052,AINADDR,FieldType.STRING,Conbined fund at 14th January 2013 is �17254.74,SEE NOTES RE TRANSFER OF AVC'S TO UNISON,1282.0,1277.0,5.0,0.0,0.0,,5
BENEFIT,3,2019-04-14 16:19:00.603052,AINVNAME,FieldType.STRING,BSPS                     ,Z9994,1282.0,0.0,1282.0,0.0,0.0,,71
BENEFIT,3,2019-04-14 16:19:00.603052,APCODE,FieldType.STRING,,,1282.0,1282.0,0.0,0.0,0.0,,1
BENEFIT,3,2019-04-14 16:19:00.603052,ATYPE,FieldType.STRING,Free Standing AVC,Retained Pension Ben,1282.0,0.0,1282.0,0.0,0.0,,3
BENEFIT,3,2019-04-14 16:19:00.603052,AVCACC,FieldType.STRING,,,1282.0,1282.0,0.0,0.0,0.0,,1
BENEFIT,3,2019-04-14 16:19:00.603052,AVCANN,FieldType.DECIMAL,0.0,2388.0,1282.0,20.0,1262.0,0.0,0.0,9.983288431061832,81
BENEFIT,3,2019-04-14 16:19:00.603052,AVCCOMP,FieldType.BOOLEAN,False,True,1282.0,105.0,1177.0,0.0,0.0,,3
BENEFIT,3,2019-04-14 16:19:00.603052,AVCEDCUR,FieldType.DATE,1979-09-01 00:00:00+00:00,2008-09-08 00:00:00+00:00,1282.0,49.0,1233.0,0.0,0.0,,239
BENEFIT,3,2019-04-14 16:19:00.603052,AVCID,FieldType.INTEGER,1293.0,2590.0,1282.0,0.0,1282.0,0.0,0.0,1939.7527301092057,
BENEFIT,3,2019-04-14 16:19:00.603052,AVCPAYFREQ,FieldType.STRING,Annual,[ New ],1282.0,20.0,1262.0,0.0,0.0,,5
BENEFIT,3,2019-04-14 16:19:00.603052,AVCPAYTYPE,FieldType.STRING,Free Standing,Single - Fund,1282.0,0.0,1282.0,0.0,0.0,,5
BENEFIT,3,2019-04-14 16:19:00.603052,AVCPREND,FieldType.STRING,01/12/2001,31/08/1998,1282.0,1262.0,20.0,0.0,0.0,,19
BENEFIT,3,2019-04-14 16:19:00.603052,AVCSTAT,FieldType.STRING,AVC In Force,AVC Lapsed,1282.0,105.0,1177.0,0.0,0.0,,3
BENEFIT,3,2019-04-14 16:19:00.603052,AVCSTATED,FieldType.DATE,1981-06-26 00:00:00+00:00,2017-01-23 00:00:00+00:00,1282.0,99.0,1183.0,0.0,0.0,,203
BENEFIT,3,2019-04-14 16:19:00.603052,BIC,FieldType.STRING,,,1282.0,1282.0,0.0,0.0,0.0,,1
BENEFIT,3,2019-04-14 16:19:00.603052,DATEBENE,FieldType.DATE,1996-08-11 00:00:00+00:00,2018-06-25 00:00:00+00:00,1282.0,918.0,364.0,0.0,0.0,,175
BENEFIT,3,2019-04-14 16:19:00.603052,IBAN,FieldType.STRING,,,1282.0,1282.0,0.0,0.0,0.0,,1
BENEFIT,3,2019-04-14 16:19:00.603052,LTA,FieldType.INTEGER,0.0,0.0,1282.0,908.0,374.0,1.0,0.0,0.0,3
BENEFIT,3,2019-04-14 16:19:00.603052,LTADATE,FieldType.STRING,,,1282.0,1282.0,0.0,0.0,0.0,,1
BENEFIT,3,2019-04-14 16:19:00.603052,MEMNO,FieldType.INTEGER,18705.0,75596.0,1282.0,0.0,1282.0,0.0,0.0,27270.477379095162,892
BENEFIT,3,2019-04-14 16:19:00.603052,PAYEE,FieldType.STRING,,,1282.0,1282.0,0.0,0.0,0.0,,1
BENEFIT,3,2019-04-14 16:19:00.603052,TOTBENE,FieldType.DECIMAL,0.0,92367.05,1282.0,0.0,1282.0,0.0,0.0,4132.247433697338,767
DEFELEMENTS,3,2019-04-14 16:19:02.196229,BCAT,FieldType.STRING,100th NRA 60,PRE07 LEG65,221.0,0.0,221.0,0.0,0.0,,11
DEFELEMENTS,3,2019-04-14 16:19:02.196229,CONTRIBUTION,FieldType.STRING,,,221.0,221.0,0.0,0.0,0.0,,1
DEFELEMENTS,3,2019-04-14 16:19:02.196229,DATATYPE,FieldType.INTEGER,1.0,3.0,221.0,122.0,99.0,0.0,0.0,2.555555555555556,3
DEFELEMENTS,3,2019-04-14 16:19:02.196229,ELEMENTSET,FieldType.STRING,,,221.0,221.0,0.0,0.0,0.0,,1
DEFELEMENTS,3,2019-04-14 16:19:02.196229,ELEMENTTYPE,FieldType.STRING,Member,Spouse,221.0,0.0,221.0,0.0,0.0,,2
DEFELEMENTS,3,2019-04-14 16:19:02.196229,EXITTYPE,FieldType.INTEGER,0.0,1.0,221.0,0.0,221.0,0.0,0.0,0.4479638009049772,2
DEFELEMENTS,3,2019-04-14 16:19:02.196229,GROUPNAME,FieldType.STRING,,,221.0,221.0,0.0,0.0,0.0,,1
DEFELEMENTS,3,2019-04-14 16:19:02.196229,ID,FieldType.INTEGER,509.0,734.0,221.0,0.0,221.0,0.0,0.0,620.0407239819007,221
DEFELEMENTS,3,2019-04-14 16:19:02.196229,ITEMNO,FieldType.INTEGER,1.0,13.0,221.0,0.0,221.0,0.0,0.0,4.6696832579185505,13
DEFELEMENTS,3,2019-04-14 16:19:02.196229,NAME,FieldType.STRING,97 To 2004 Pension,Pst97 Pst04 TVIN Years,221.0,0.0,221.0,0.0,0.0,,24
DEFELEMENTS,3,2019-04-14 16:19:02.196229,SCHEME,FieldType.STRING,BAR,BAR,221.0,0.0,221.0,0.0,0.0,,1
DEFELEMENTS,3,2019-04-14 16:19:02.196229,STATUS,FieldType.INTEGER,1.0,1.0,221.0,0.0,221.0,0.0,0.0,1.0,1
DEFELEMENTS,3,2019-04-14 16:19:02.196229,TOTALLING,FieldType.BOOLEAN,True,True,221.0,160.0,61.0,0.0,0.0,,2
DEFERREDITEMS,3,2019-04-14 16:19:07.117169,AMOUNT,FieldType.DECIMAL,-160.68,24496.16,29289.0,0.0,29289.0,0.0,0.0,830.6326477517129,
DEFERREDITEMS,3,2019-04-14 16:19:07.117169,DATEEFFECTIVE,FieldType.STRING,,,29289.0,29289.0,0.0,0.0,0.0,,1
DEFERREDITEMS,3,2019-04-14 16:19:07.117169,ELEMENTID,FieldType.INTEGER,509.0,726.0,29289.0,0.0,29289.0,0.0,0.0,596.9988391546293,69
DEFERREDITEMS,3,2019-04-14 16:19:07.117169,EXITTYPE,FieldType.INTEGER,0.0,0.0,29289.0,0.0,29289.0,0.0,0.0,0.0,1
DEFERREDITEMS,3,2019-04-14 16:19:07.117169,ID,FieldType.INTEGER,199339.0,229558.0,29289.0,0.0,29289.0,0.0,0.0,214303.31052613538,
DEFERREDITEMS,3,2019-04-14 16:19:07.117169,INCDATE,FieldType.DATE,1968-05-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,29289.0,0.0,29289.0,0.0,0.0,,
DEFERREDITEMS,3,2019-04-14 16:19:07.117169,ITEMNO,FieldType.INTEGER,1.0,7.0,29289.0,0.0,29289.0,0.0,0.0,3.84700740892486,7
DEFERREDITEMS,3,2019-04-14 16:19:07.117169,MEMNO,FieldType.INTEGER,18654.0,75588.0,29289.0,0.0,29289.0,0.0,0.0,27159.010379323285,
ELEMENTS,3,2019-04-14 16:19:11.818784,AMOUNT,FieldType.DECIMAL,-991.85,77514.6,20707.0,59.0,20648.0,0.0,0.0,1875.6209666795867,
ELEMENTS,3,2019-04-14 16:19:11.818784,DATEEFFECTIVE,FieldType.DATE,2018-06-04 00:00:00+00:00,2018-06-07 00:00:00+00:00,20707.0,20645.0,62.0,0.0,0.0,,3
ELEMENTS,3,2019-04-14 16:19:11.818784,ELEMENTID,FieldType.INTEGER,1.0,28.0,20707.0,0.0,20707.0,0.0,0.0,14.47442893707438,21
ELEMENTS,3,2019-04-14 16:19:11.818784,ENDDATE,FieldType.DATE,2017-05-03 00:00:00+00:00,2018-07-05 00:00:00+00:00,20707.0,12343.0,8364.0,0.0,0.0,,21
ELEMENTS,3,2019-04-14 16:19:11.818784,ID,FieldType.INTEGER,1.0,20808.0,20707.0,0.0,20707.0,0.0,0.0,10355.461438161035,
ELEMENTS,3,2019-04-14 16:19:11.818784,INFORCE,FieldType.BOOLEAN,False,True,20707.0,0.0,20707.0,0.0,0.0,,2
ELEMENTS,3,2019-04-14 16:19:11.818784,LASTPAYDATE,FieldType.DATE,2017-06-04 00:00:00+00:00,2018-06-07 00:00:00+00:00,20707.0,34.0,20673.0,0.0,0.0,,17
ELEMENTS,3,2019-04-14 16:19:11.818784,LASTPERIOD,FieldType.INTEGER,201701.0,201804.0,20707.0,34.0,20673.0,0.0,0.0,201764.33734823138,17
ELEMENTS,3,2019-04-14 16:19:11.818784,MEMNO,FieldType.INTEGER,18658.0,75603.0,20707.0,0.0,20707.0,0.0,0.0,29563.07581977126,
ELEMENTS,3,2019-04-14 16:19:11.818784,NEWAMOUNT,FieldType.DECIMAL,0.0,25579.92,20707.0,9309.0,11398.0,0.0,0.0,11.781965257062671,60
